Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Publication Share growth (%),Field-Weighted Citation Impact,Prominence percentile
Augmented Reality; Gesture Recognition; Image Processing,TC.362,107.0,0.28,22.5,0.66,97.057
Photocatalysis; Titanium Dioxide; Oxide Mineral,TC.62,106.0,0.35,-66.8,0.84,96.272
Cellulose; Deep Eutectic Solvent; Enzyme,TC.49,101.0,0.24,-29.4,1.03,98.43
Occupational Health; Safety Management; Engineering,TC.702,101.0,0.61,-55.5,0.67,72.858
Entrepreneurship; Family Business; Entrepreneurial Orientation,TC.481,99.0,0.34,178.2,0.51,96.468
Carbon Dioxide; Adsorption Isotherm; Membranes Separation,TC.650,99.0,0.73,63.2,2.35,81.753
Information Theory; Construction Industry; Interoperability,TC.1331,98.0,0.8,22.8,0.72,78.613
Dengue Fever; Viral Disease; Viral Envelope Protein,TC.343,96.0,0.44,70.1,0.42,75.147
Forestry; Fourier Transform Infrared Spectroscopy; Scanning Electron Microscopy,TC.897,96.0,0.86,45.7,0.75,53.107
Urban Heat Island Effect; Thermal Comfort; Energy Engineering,TC.263,96.0,0.29,-100.0,0.67,96.534
Atmospheric Aerosol; Particular Matter 2.5; Emissions,TC.23,93.0,0.2,-48.0,0.72,97.319
Zinc Oxide; Indium; Scanning Electron Microscopy,TC.38,92.0,0.31,41.2,0.66,91.367
Perovskite; Dye-Sensitized Solar Cell; Titanium Dioxide,TC.73,91.0,0.15,-13.8,0.68,99.542
English Language; Language Integrated Learning; Intercultural Competence,TC.283,91.0,0.3,141.6,0.72,83.453
Quality of Service; Industry; Customer Loyalty,TC.638,90.0,0.52,83.7,0.73,84.892
Antenna; Ultra-Wideband; Dielectrics,TC.15,88.0,0.2,29.3,0.56,85.612
Energy Engineering; Battery Charging; Electric Power,TC.212,87.0,0.19,47.2,0.99,97.122
Fuel Cell; Polymer Electrolyte; Lithium Ion Battery,TC.79,84.0,0.27,-60.4,0.55,97.646
Physical Activity; Residence Characteristic; Mental Health,TC.882,84.0,0.36,251.8,0.5,90.647
Waste Management; Methane; Emissions,TC.447,83.0,0.35,234.4,0.62,91.825
Carbon Dioxide; Polyurethane; Thermogravimetric Analysis,TC.798,81.0,0.55,109.0,0.61,80.837
Machine Learning; Data Mining; Artificial Intelligence,TC.199,79.0,0.21,248.8,0.89,93.394
COVID-19; Mental Health; Severe Acute Respiratory Syndrome Coronavirus 2,TC.620,79.0,0.15,,1.39,98.496
Polylactide; Biodegradation; Differential Scanning Calorimetry,TC.333,77.0,0.18,-34.6,1.12,99.738
Cellulose; Scanning Electron Microscopy; Fourier Transform Infrared Spectroscopy,TC.859,75.0,0.39,195.0,0.97,92.871
Anaerobic Digestion; Biochar; Microbial Fuel Cell,TC.69,75.0,0.15,-43.7,1.31,99.346
Finance; Industry; Capital Structure,TC.394,74.0,0.34,-100.0,0.51,82.538
Network Security; Cybersecurity; Machine Learning,TC.383,70.0,0.22,639.1,0.61,90.19
Modal Analysis; Structural Health Monitoring; Finite Element Method,TC.428,69.0,0.36,-100.0,0.95,77.371
Asphalt; Rheology; Ultimate Tensile Strength,TC.763,67.0,0.32,-38.5,0.96,88.685
Biometrics; Image Processing; Artificial Intelligence,TC.121,67.0,0.22,-100.0,1.23,83.322
Life Cycle Assessment; Circular Economy; Energy Engineering,TC.426,66.0,0.2,16.2,0.93,98.365
Ionic Liquid; Molecular Dynamics; Positive Ion,TC.424,65.0,0.35,418.6,0.43,82.734
Blockchain; Smart Contract; Authentication,TC.431,65.0,0.11,1248.1,0.66,99.215
Desalination; Polymerization; Wastewater Treatment,TC.555,65.0,0.3,-34.2,1.02,95.945
Solid Oxide Fuel Cell; Oxide Compound; Zirconia,TC.335,64.0,0.41,-8.5,0.72,82.472
Gas Chromatography; High Performance Liquid Chromatography; Solid-Phase Microextraction,TC.470,64.0,0.45,-100.0,0.57,80.183
Silver Nanoparticle; Nanoclusters; Scanning Electron Microscopy,TC.302,64.0,0.17,-42.0,1.01,97.515
Organic Rankine Cycle; Energy Engineering; Heat Pump System,TC.367,64.0,0.25,-100.0,1.81,92.544
Robot; Upper Limb; Motor Control,TC.105,63.0,0.21,-15.1,0.59,83.911
Timber; Bearing Capacity; Finite Element Method,TC.1363,63.0,0.73,39.1,1.07,44.539
Solar Energy; Photovoltaics; Desalination,TC.529,63.0,0.25,-100.0,0.56,93.852
Industry; Information Technology; Business Model,TC.47,63.0,0.16,332.9,0.91,97.449
Antenna; Orthogonal Frequency Division Multiplexing; Multiple-Input Multiple-Output,TC.3,62.0,0.09,-47.8,0.65,96.991
Six Sigma; Quality Management; Industry,TC.386,62.0,0.35,173.1,0.47,87.966
Soil Mechanics; Slope Stability; Hydraulics,TC.510,62.0,0.29,24.4,1.06,75.474
Qualitative Research; Phenomenology; COVID-19,TC.462,60.0,0.27,13.7,0.57,71.223
Implant; Orthodontics; Lower Jaw,TC.51,60.0,0.15,-34.5,0.32,89.732
Knowledge Management; Intellectual Capital; Social Media,TC.389,60.0,0.41,3.3,0.86,73.25
Seismic Response; Seismology; Earthquake Engineering,TC.328,58.0,0.21,-100.0,0.43,86.593
Graphene; Scanning Electron Microscopy; Nanocomposite,TC.653,58.0,0.23,-7.8,0.81,94.833
Groundwater Resource; Potable Water; Hydrochemistry,TC.379,58.0,0.22,-9.9,1.35,89.078
Fluoride; Oral Hygiene; Streptococcus mutans,TC.293,57.0,0.26,470.2,0.65,72.531
Social Capital; Housing Market; Immigrant,TC.770,57.0,0.43,129.8,0.6,53.63
Pro-Environmental Behavior; Climate Change; Environmental Policy,TC.833,57.0,0.24,76.6,0.55,94.245
Biodegradation; Wastewater Treatment; Environmental Monitoring,TC.153,56.0,0.14,185.1,0.61,98.234
Gas Sensor; Scanning Electron Microscopy; Tin Oxide,TC.388,56.0,0.22,-41.0,1.12,94.702
Fiber Laser; Amplifier; Quantum Well,TC.465,56.0,0.46,-100.0,0.55,38.718
Social Media; Brand Equity; Commerce,TC.755,56.0,0.33,-53.2,0.95,91.694
Commerce; Machine Learning; Transport,TC.518,56.0,0.19,307.3,0.56,90.713
Anti-Inflammatory Drug; Antioxidant Capacity; High Performance Liquid Chromatography,TC.170,56.0,0.28,51.4,0.58,69.915
Bearing Capacity; Concrete Filled Steel Tube; Ultimate Tensile Strength,TC.561,56.0,0.22,122.8,0.73,92.479
Silicon Dioxide; Sodium; Oxide Compound,TC.950,55.0,0.69,91.5,0.75,36.494
Cardiovascular System; Sodium; Randomized Controlled Trial,TC.18,55.0,0.16,69.3,3.23,87.508
Solar Energy; Photovoltaics; Daylighting,TC.829,55.0,0.3,-100.0,0.59,81.491
Multiple-Criteria Decision Analysis; Analytical Hierarchy Process; Artificial Intelligence,TC.375,54.0,0.26,45.9,0.72,84.957
Volatility; Investors; Commerce,TC.102,54.0,0.15,54.3,0.63,96.207
Stormwater; Water Management; Flood Control,TC.893,54.0,0.34,23.3,0.94,78.286
Climate Change; Ergonomics; Occupational Health,TC.381,54.0,0.22,175.8,1.26,88.947
Indonesian Language; Islam; Democracy,TC.1325,53.0,0.7,463.0,0.47,14.388
Energy Engineering; Predictive Control Model; Residential Building,TC.676,53.0,0.21,-100.0,0.78,93.721
Metric Space; Matrix (Mathematics); Variational Inequality,TC.61,53.0,0.16,-60.3,0.43,66.71
Synthetic Aperture Radar; Compressed Sensing; Antenna,TC.2,52.0,0.08,-100.0,0.78,92.937
Image Classification; Hyperspectral Imaging; Vegetation,TC.158,52.0,0.15,-100.0,1.22,94.637
Three Dimensional Printing; Fused Filament Fabrication; Ultimate Tensile Strength,TC.270,51.0,0.15,-24.2,0.3,96.664
Fourier Transform Infrared Spectroscopy; Scanning Electron Microscopy; Chitosan,TC.881,50.0,0.29,-25.1,0.67,91.89
Structure Activity Relationship; Antibacterial Activity; Drug Screening,TC.376,49.0,0.3,-68.5,0.82,75.54
Testes; Stallion; Fertilization,TC.323,49.0,0.29,-100.0,2.7,64.879
Ultimate Tensile Strength; Fiber Reinforced Concrete; Creep,TC.461,48.0,0.2,-100.0,0.67,86.2
Machining; Residual Stress; Cutting Tool,TC.172,48.0,0.17,-28.2,0.35,85.546
Nanofluidics; Heat Pipe; Thermal Conductivity,TC.538,48.0,0.23,8.0,1.19,86.396
Nanofiber; Electrospinning; Scanning Electron Microscopy,TC.176,47.0,0.18,-13.0,0.67,95.095
Wealth; Finance; Income Inequality,TC.724,47.0,0.29,-100.0,0.61,73.054
Immigrant; Diaspora; Immigration Policy,TC.32,47.0,0.1,303.8,0.67,81.884
Perovskite; Ferromagnetism; Strontium,TC.200,47.0,0.36,66.0,0.9,55.853
Forestry; Artificial Intelligence; Internet of Things,TC.917,47.0,0.33,57.0,0.28,60.235
Fenton; Wastewater Treatment; Ozonation,TC.433,46.0,0.21,-52.8,1.05,95.422
Social Media; Journalism; Content Analysis,TC.181,46.0,0.14,9.8,0.63,85.35
Cell Proliferation; Antioxidant Capacity; Flavonoid,TC.124,46.0,0.15,43.0,0.61,93.918
Tuberculosis Treatment; Genome Sequencing; Cohort Study,TC.75,45.0,0.16,203.0,0.77,74.82
Humidity Sensor; Electrophoretic Technology; Fluidics,TC.571,45.0,0.39,-26.9,0.56,57.489
Critical Thinking; High School Student; Learning Outcome,TC.1339,45.0,0.33,-100.0,1.68,39.176
Planetary Atmosphere; Chromosphere; Magnetosphere,TC.258,45.0,0.3,-100.0,0.56,50.098
Particle Swarm Optimization; Mathematical Optimization; Benchmarking,TC.24,44.0,0.11,-100.0,0.5,96.599
Scientometrics; Biomedical Research; Social Media,TC.101,44.0,0.14,710.0,0.61,85.873
Piezoelectricity; Energy Harvesting; Wearable Sensor,TC.282,44.0,0.11,9.0,0.67,98.823
Layered Double Hydroxides; Thermogravimetric Analysis; Scanning Electron Microscopy,TC.484,44.0,0.39,-100.0,0.47,60.824
Tablet; Drug Delivery System; Pharmaceutical Chemistry,TC.147,44.0,0.17,34.1,0.99,90.32
Concrete Construction; Ultimate Tensile Strength; Carbon Fiber,TC.401,44.0,0.19,-5.9,0.44,81.033
Cloud Computing; Data Center; Network Security,TC.150,44.0,0.14,44.5,0.93,83.519
Power Transformer; Dielectrics; Permittivity,TC.346,44.0,0.18,178.4,0.4,63.506
Termites; Bee; Antioxidant Capacity,TC.353,43.0,0.21,-100.0,0.68,76.521
Problem-Based Learning; Anatomy; Medical Education,TC.968,43.0,0.3,355.0,0.81,56.9
Software Engineering; Open Source Software; Information System,TC.50,43.0,0.14,81.1,0.62,88.031
Photocatalysis; Carbon Dioxide; Bismuth,TC.240,43.0,0.07,19.9,1.41,99.804
Social Media; Narcissism; Facebook,TC.757,42.0,0.16,107.0,0.38,94.506
Routing Protocol; Quality of Service; Vehicle-to-Vehicle Communication,TC.37,42.0,0.1,-100.0,1.0,92.152
Lipoprotein; Randomized Controlled Trial; HDL-Cholesterol,TC.216,42.0,0.22,-100.0,1.8,78.679
Institutional Theory; Public Sector; Management Accounting,TC.940,42.0,0.34,-43.9,0.33,63.963
Psychometrics; Factor Analysis; Test Anxiety,TC.984,42.0,0.33,533.2,1.36,57.227
Fuzzy Logic; Fuzzy-Neural System; Artificial Intelligence,TC.1116,41.0,0.67,-100.0,1.1,19.817
Edge; Number; Matrix (Mathematics),TC.896,41.0,0.33,122.3,0.88,17.659
Biodegradation; Contaminated Soil; Polycyclic Aromatic Hydrocarbons,TC.308,41.0,0.22,-100.0,0.85,84.303
Social Media; Health Literacy; COVID-19,TC.494,41.0,0.14,-100.0,0.42,88.489
Robot; Artificial Intelligence; Expression Recognition,TC.321,40.0,0.09,239.5,1.79,98.038
Autism; Behavior (Neuroscience); Robot,TC.453,40.0,0.16,-100.0,0.42,89.536
Polymerization; Scanning Electron Microscopy; Conducting Polymer,TC.963,40.0,0.68,-100.0,1.33,34.794
Synthetic Aperture Radar; Photogrammetry; Subsidence,TC.711,40.0,0.18,-4.6,0.81,79.529
Fly; Biological Control; Animal Morphology,TC.1021,40.0,0.46,55.2,0.51,19.882
Superhydrophobic; Oil-Water Emulsion; Hydrophobicity,TC.482,40.0,0.15,-100.0,0.63,96.01
Slope Stability; Geographic Information System; Italy,TC.835,40.0,0.21,83.1,0.61,81.687
Zoonoses; Babesia; Tick-Borne Disease,TC.82,39.0,0.15,93.4,0.4,76.455
Climate Change; Forestry; Vegetation,TC.357,39.0,0.19,-100.0,0.52,79.333
Vegetable Oil; Antioxidant; Gas Chromatography,TC.384,39.0,0.21,33.1,0.49,82.211
Physical Activity; Health Promotion; Quality of Life,TC.445,39.0,0.18,,0.64,77.763
Thermoelectrics; Thermal Conductivity; Bismuth,TC.268,39.0,0.15,-100.0,0.79,92.021
Object Recognition; Image Processing; Salient Object Detection,TC.602,39.0,0.18,-100.0,0.59,76.913
Corrosion; Dielectric Spectroscopy; Carbon Steel,TC.933,38.0,0.3,-17.2,1.16,72.596
Nutrition; Mediterranean Diet; Energy Intake,TC.458,38.0,0.17,-100.0,0.8,90.386
Science Education; High School Student; Student Learning,TC.310,38.0,0.16,334.6,0.45,70.307
Antioxidant Capacity; Essential Oil; Gas Chromatography Mass Spectrometry,TC.275,38.0,0.14,-100.0,0.68,89.863
Image Segmentation; Magnetic Resonance Imaging; Computed Tomography,TC.559,38.0,0.24,-100.0,0.64,64.944
Housing Market; Real Estate Sector; COVID-19,TC.1195,38.0,0.45,-100.0,0.52,40.876
Transport; Road; Regression Analysis,TC.644,37.0,0.19,419.3,0.27,75.343
Professional Development; Educational Policy; Pre-Service Teacher,TC.180,37.0,0.13,-100.0,0.88,80.445
World Trade Organization; International Trade; Industry,TC.262,37.0,0.13,-100.0,0.51,88.882
Ion Exchange; Solvent Extraction; Lithium,TC.486,37.0,0.23,-62.1,0.79,90.451
Tribology; Lubricant; Scanning Electron Microscopy,TC.1305,37.0,0.56,-5.5,0.46,31.328
Diabetes; Blood Glucose; Patient with Type 2 Diabetes,TC.16,37.0,0.08,39.6,0.88,95.029
Analytic Function; Polynomial; Composition Operator,TC.587,36.0,0.23,-100.0,0.64,19.751
Microalgae; Lipid; Wastewater Treatment,TC.554,36.0,0.17,-100.0,1.39,93.787
Climate Change; Soil Moisture; Uncertainty Analysis,TC.583,36.0,0.24,-100.0,0.71,66.972
Quality of Life; Upper Limb; Skeletal Muscle,TC.608,36.0,0.25,448.8,0.3,43.689
Data Mining; Artificial Intelligence; Information System,TC.402,35.0,0.17,64.3,1.06,79.137
Composting; Environmental Monitoring; Sewage Sludge,TC.615,35.0,0.19,74.9,1.74,88.097
Osteoblast; Macrophage; Nuclear Factor Kappa B,TC.910,35.0,0.43,133.9,0.59,40.484
Soil Mechanics; Liquefaction; Seismic Response,TC.420,35.0,0.16,186.4,0.69,75.997
Food Waste; Agricultural Science; Supply Chain Management,TC.1033,35.0,0.2,-100.0,0.73,86.723
Fatherhood; Justice; High Performance Work Systems,TC.576,34.0,0.22,-100.0,1.34,78.09
Hydrogel; Tissue Engineering; Scanning Electron Microscopy,TC.252,34.0,0.09,-100.0,0.85,99.15
Gut Microbiota; Metagenomics; DNA,TC.80,34.0,0.05,-9.9,0.91,99.477
Social Innovation; Industrial Sector; Charity,TC.1401,34.0,0.4,111.7,0.41,48.921
Computed Tomography; Finite Element Method; Osteoporosis,TC.787,34.0,0.28,339.4,0.82,33.094
Corruption; Plagiarism; Auction,TC.1224,34.0,0.33,-100.0,0.48,45.585
Transition Metal; Molybdenum; Density,TC.92,34.0,0.06,144.7,1.21,99.084
Self-Regulation; Computer-Aided Instruction; Self-Efficacy,TC.1177,34.0,0.36,86.4,1.49,52.91
Scanning Electron Microscopy; Mechanical Strength; Zirconia,TC.183,33.0,0.13,96.8,0.38,79.987
Hydrogen Production; Carbon Dioxide; Methane,TC.90,33.0,0.08,-18.7,0.85,99.281
Housing Market; Regression Analysis; Real Estate Sector,TC.1220,33.0,0.34,-100.0,0.66,43.623
Ultimate Tensile Strength; Rubber; Black Carbon,TC.1385,33.0,0.7,-100.0,0.67,21.19
Burnout; Job Satisfaction; Mental Health,TC.490,33.0,0.12,47.3,0.58,86.854
Carbon Nanotube; Graphene; Scanning Electron Microscopy,TC.19,33.0,0.12,38.5,1.03,90.844
Hydroxylapatite; Scanning Electron Microscopy; Apatite,TC.823,33.0,0.27,-100.0,0.93,72.4
Energy Engineering; Electricity Market; Power Generation,TC.285,33.0,0.09,16.9,0.57,95.356
Sarcopenia; Skeletal Muscle; Quality of Life,TC.344,33.0,0.12,-100.0,0.66,84.761
Environmental Monitoring; Climate Change; Geochemistry,TC.912,33.0,0.26,176.8,0.79,71.092
Endodontics; Dental Pulp; Lower Jaw,TC.259,32.0,0.12,-100.0,0.55,74.689
Polysaccharide; Antioxidant Capacity; Fourier Transform Infrared Spectroscopy,TC.548,32.0,0.14,177.7,0.69,89.797
Job Satisfaction; Emotional Labor; Mental Health,TC.876,32.0,0.19,237.2,0.72,83.126
Doubly-Fed Induction Generator; Control System; Power Engineering,TC.280,32.0,0.09,-100.0,1.47,90.255
Data Mining; Artificial Intelligence; Machine Learning,TC.250,32.0,0.17,158.5,0.54,57.554
Quality of Life; Physical Activity; Randomized Controlled Trial,TC.631,32.0,0.17,-100.0,0.23,69.719
Natural Resource; Land Use Change; Contingent Valuation,TC.140,32.0,0.09,-100.0,0.57,95.553
High Performance Liquid Chromatography; Cell Proliferation; Antioxidant Capacity,TC.1074,32.0,0.33,-100.0,1.15,47.417
Antioxidant; Ethylene; Sucrose,TC.419,32.0,0.16,-33.5,0.48,84.434
Causal Inference; Regression Analysis; Randomized Controlled Trial,TC.173,31.0,0.1,-100.0,0.53,81.622
Data Envelopment Analysis; Industry; Regression Analysis,TC.589,31.0,0.17,151.7,0.16,80.379
Archeology; Heritage Conservation; Climate Change,TC.1137,31.0,0.24,467.9,0.43,30.935
e-Government; Open Data; Social Media,TC.1214,31.0,0.32,-100.0,0.8,54.218
Near Infrared Spectroscopy; Hyperspectral Imaging; Chemometrics,TC.540,31.0,0.18,-100.0,0.63,77.959
Industry 4.0; Digital Twin; Internet of Things,TC.1057,31.0,0.1,-100.0,0.71,97.907
Three Dimensional Printing; Corrosion; Magnesium,TC.133,31.0,0.06,220.9,1.02,98.757
Computational Fluid Dynamics; Aeroelasticity; Micro Air Vehicle,TC.1012,31.0,0.26,528.0,0.61,40.811
Finite Element Method; Vibration Analysis; Sandwich Panel,TC.163,31.0,0.12,-100.0,1.03,87.443
Finite Element Method; Elastomer; Nanofluidics,TC.961,30.0,0.29,-100.0,0.39,52.976
Carbon Dioxide; Supercritical Fluid Extraction; Gas Chromatography,TC.993,30.0,0.39,-21.0,0.46,55.592
Nucleic Acid Hybridization; DNA; RNA Sequencing,TC.40,30.0,0.08,-100.0,0.99,90.974
Mathematics; Mathematics Education; Pre-Service Teacher,TC.472,30.0,0.14,117.0,0.75,65.271
Sound Insulation; Finite Element Method; Architectural Acoustics,TC.806,30.0,0.32,-100.0,0.56,28.777
Lightning; Finite Element Method; Railway,TC.569,30.0,0.18,-100.0,0.29,38.653
Complementary and Alternative Medicine; Complementary Therapy; Dietary Supplement,TC.687,30.0,0.29,-100.0,0.61,41.792
Integer Programming; Transport; Benchmarking,TC.215,30.0,0.1,1636.8,1.68,94.31
Atmospheric Aerosol; Particular Matter 2.5; Environmental Monitoring,TC.251,30.0,0.1,71.4,1.09,95.618
Cobalt; Thermogravimetric Analysis; Epoxidation,TC.956,30.0,0.48,161.7,0.88,36.821
Patient Safety; Medication Error; Pharmacovigilance,TC.26,29.0,0.08,-100.0,0.57,76.717
Trabeculectomy; Optic Nerve; Corneal Endothelium,TC.44,29.0,0.09,118.1,0.83,75.278
Starch; Scanning Electron Microscopy; Differential Scanning Calorimetry,TC.737,29.0,0.16,272.8,0.47,81.818
Data Mining; Artificial Intelligence; e-Commerce,TC.513,29.0,0.11,15.8,0.73,85.415
Transport; Data Mining; Information System,TC.474,28.0,0.08,94.8,0.84,94.768
Image Processing; Optical Character Recognition; Deep Neural Network,TC.399,28.0,0.12,58.1,0.88,71.615
Antioxidant Capacity; Enzyme; Biodegradation,TC.1080,28.0,0.27,899.3,0.43,60.562
Self-Determination Theory; Autonomy; Physical Activity,TC.1000,28.0,0.18,-100.0,0.87,66.449
Vegetation; Climate Change; Soil Moisture,TC.592,28.0,0.1,-100.0,1.31,93.002
Luminescence; Erbium; Emission Spectroscopy,TC.1092,28.0,0.41,32.8,0.72,29.889
Image Processing; Public-Key Cryptography; Quantum Computing,TC.128,27.0,0.08,148.9,0.62,80.903
Thermogravimetric Analysis; Energetics; Differential Scanning Calorimetry,TC.637,27.0,0.17,-100.0,1.06,85.742
Probiotics; Lactobacillus; Lactic Acid Bacteria,TC.525,27.0,0.13,-100.0,0.46,88.162
Friction Stir Welding; Ultimate Tensile Strength; Aluminum,TC.942,27.0,0.18,-100.0,0.45,75.016
Hydrogel; Polymerization; Scanning Electron Microscopy,TC.188,27.0,0.18,-100.0,1.04,78.483
Reliability Analysis; Engineering; Condition-Based Maintenance,TC.467,27.0,0.13,-100.0,0.32,86.789
Differential Equation; Matrix (Mathematics); Boundary Value Problems,TC.849,27.0,0.25,-100.0,0.41,35.056
Feeding Behavior; Nutrition; Food Supply,TC.918,27.0,0.16,58.2,0.81,73.381
Articular Cartilage; Knee Joint; Chondrocyte,TC.74,27.0,0.08,-100.0,0.62,88.228
Supercapacitors; Capacitance; Graphene,TC.360,27.0,0.07,221.9,0.93,98.169
Information and Communication Technologies; Educational Technology; Pre-Service Teacher,TC.1318,27.0,0.27,-100.0,1.1,64.421
Participatory Design; Human-Computer Interaction; Hackerspace,TC.998,27.0,0.18,34.4,0.27,57.685
Monetary Policy; Inflation; Macroeconomics,TC.271,26.0,0.13,-100.0,0.67,62.198
Finite Element Method; Carbon Fiber; Ultimate Tensile Strength,TC.290,26.0,0.12,-100.0,0.36,79.006
Drying Kinetics; Energy Engineering; Moisture,TC.817,26.0,0.17,191.0,0.5,70.896
Genome Editing; Voltammetry; CRISPR/Cas9,TC.157,26.0,0.07,322.9,0.48,97.842
Internationalization; Educational Policy; Industrial Sector,TC.908,26.0,0.19,-100.0,0.31,56.769
Earth Surface Sediment Transport; Hydraulics; Open Channel Flow,TC.590,26.0,0.16,-100.0,0.89,57.162
Point Cloud; Image Processing; Object Recognition,TC.647,26.0,0.19,3.0,0.44,53.957
Crude Oil; Surfactant; Asphaltene,TC.943,26.0,0.23,-100.0,0.35,60.955
Railway; Vibration Analysis; Finite Element Method,TC.815,26.0,0.17,-100.0,0.46,62.655
Internet of Things; Information System; Artificial Intelligence,TC.1254,26.0,0.21,-100.0,0.71,67.495
Justice; Criminology; Crime Prevention,TC.142,26.0,0.09,-100.0,0.41,72.073
Physical Activity; Adolescent; Motor Skills,TC.742,26.0,0.14,184.2,1.49,75.867
Creative Thinking; Giftedness; Gifted Education,TC.987,26.0,0.18,-100.0,0.63,68.018
Graphene; Magnetic Property; Scanning Electron Microscopy,TC.656,25.0,0.13,-51.6,0.58,95.487
Gasification; Pyrolysis; Coal Combustion,TC.340,25.0,0.13,54.4,0.77,84.5
Quantum Optics; Quantum Key Distribution; Photonics,TC.9,25.0,0.05,-100.0,0.69,92.806
Fiber Optic Sensor; Fiber Bragg Grating; Refractive Index,TC.103,25.0,0.09,42.8,0.48,74.232
Plant Growth-Promoting Rhizobacteria; Soil Microbiology; Hydrogen,TC.498,25.0,0.11,,0.46,90.059
Flotation; Zeta Potential; Wastewater Treatment,TC.831,25.0,0.17,-100.0,0.94,70.961
Lignin; Cellulose; Fourier Transform Infrared Spectroscopy,TC.954,25.0,0.22,292.7,0.71,76.586
Academic Performance; Student Success; Self-Efficacy,TC.1161,25.0,0.21,-100.0,0.32,44.801
Hydrogen Bonding; Complexation; Single Crystal,TC.7,25.0,0.13,541.4,0.41,77.632
Ultimate Tensile Strength; Crack Propagation; Coal Mine,TC.127,25.0,0.07,-100.0,0.52,89.601
Emotional Intelligence; Self-Efficacy; Decision Making,TC.1252,25.0,0.25,,0.75,55.723
Gravitational Field; Global Positioning System; Climate Change,TC.1394,25.0,0.45,-100.0,0.73,21.779
Surface Plasmon; Refractive Index; Antenna,TC.39,24.0,0.08,-100.0,0.71,88.424
Finite Element Method; Bearing Capacity; Steel Construction,TC.923,24.0,0.21,101.4,0.49,44.277
Lithium Ion Battery; Cathode; Manganese,TC.303,24.0,0.1,-100.0,0.65,95.814
DC-to-DC Converter; Power Electronics; Energy Engineering,TC.295,24.0,0.08,-100.0,0.45,78.875
Genetics; Sorghum; Cereal,TC.370,24.0,0.11,-100.0,0.65,69.261
Atomic Force Microscopy; Rheology; Well Drilling,TC.371,24.0,0.12,-100.0,0.79,67.626
Oral Hygiene; Gum (Oral Cavity); Diabetes,TC.648,24.0,0.16,-100.0,0.37,59.058
Network Security; Intrusion Detection; Machine Learning,TC.663,23.0,0.09,-100.0,0.88,89.274
